doc_id,timestamp,n_chunks,total_chars,chunk_time_s,embed_time_s,upsert_time_s,total_time_s,chars_per_s,ram_delta_mb,ram_peak_mb,vram_peak_mb,avg_sparse_tokens,status
prouni_relatorio-de-avaliacao,2026-07-29T20:16:52+00:00,211,230022,0.614,9.084,0.398,10.499,25321.0,12.5,2377.7,8.1,107.7,ok
relatorio_avaliacao-cmag-2020-mac,2026-07-29T20:17:03+00:00,189,223924,0.672,8.95,0.351,10.344,25019.0,1.5,2379.1,8.1,117.5,ok
exames-educ-basica_relatorio-de-avaliacao,2026-07-29T20:17:14+00:00,507,475232,1.308,10.515,0.95,13.259,45193.9,-22.5,2377.8,8.1,92.9,ok
relatorio_avaliacao-cmag-2020-abono,2026-07-29T20:17:27+00:00,158,199800,0.626,8.881,0.301,10.171,22498.1,28.8,2381.8,8.1,105.9,ok
relatorio_avaliacao-cmag-2020-sisceab,2026-07-29T20:17:37+00:00,271,358631,1.165,9.871,0.525,12.002,36330.0,26.6,2407.5,8.1,112.3,ok
relatorio_avaliacao-cmag-2020-pbf,2026-07-29T20:17:49+00:00,329,418607,1.34,10.244,0.687,12.799,40862.9,-51.8,2407.5,8.1,115.9,ok
relatorio_avaliacao-cmag-sdpa,2026-07-29T20:18:02+00:00,241,281832,0.977,9.404,0.463,11.221,29969.8,32.0,2387.8,8.1,111.7,ok
relatorio_avaliacao-cmas-2020-cebas-saude,2026-07-29T20:18:14+00:00,319,391149,1.282,10.094,0.765,12.798,38751.1,2.0,2387.8,8.1,113.3,ok
relatorio_avaliacao-cmas-2020-psrproagro,2026-07-29T20:18:27+00:00,92,95037,0.449,8.301,0.141,9.227,11449.0,2.4,2388.2,8.1,115.2,ok
despesas-com-pct_relatorio-de-avaliacao,2026-07-29T20:18:37+00:00,178,213026,0.688,8.927,0.303,10.314,23862.0,2.9,2389.4,8.1,127.9,ok
seguranca-publica-relatorio-de-avaliacao,2026-07-29T20:18:47+00:00,564,489116,1.709,10.603,0.879,13.875,46131.2,-29.5,2389.6,8.1,73.3,ok
relatorio_avaliacao-cmas-2020-deducao-despesas-medicas,2026-07-29T20:19:02+00:00,128,149683,0.507,8.773,0.243,9.874,17062.4,23.0,2383.5,8.1,104.4,ok
relatorio_avaliacao-cmas-2020-molestias-graves,2026-07-29T20:19:12+00:00,140,151871,0.53,8.758,0.253,9.952,17341.8,-13.4,2382.8,8.1,108.1,ok
proex_relatorio-de-avaliacao,2026-07-29T20:19:22+00:00,200,209372,0.692,9.049,0.336,10.519,23137.0,-1.2,2367.4,8.1,109.0,ok
imuno-ist-relatorio-de-avaliacao,2026-07-29T20:19:33+00:00,361,358961,1.091,9.856,0.647,11.994,36420.7,-4.3,2364.3,8.1,109.1,ok
fomento-p-d_relatorio-de-avaliacao,2026-07-29T20:19:45+00:00,361,477886,2.003,10.39,0.668,13.577,45995.9,12.1,2371.1,8.1,117.9,ok
ftra_relatorio-de-avaliacao,2026-07-29T20:19:59+00:00,238,357189,1.069,9.65,0.436,11.546,37014.1,19.1,2390.2,8.1,147.9,ok
postos-mre_relatorio-de-avaliacao,2026-07-29T20:20:10+00:00,216,223285,0.668,8.885,0.404,10.347,25130.6,0.2,2390.4,8.1,95.7,ok
relatorio_avaliacao_termoeletricidade_atualizacao,2026-07-29T20:20:21+00:00,266,269812,0.841,9.346,0.464,11.057,28869.3,14.3,2405.2,8.1,103.9,ok
esgotamento-sanitario_relatorio-de-avaliacao,2026-07-29T20:20:32+00:00,278,291915,1.044,9.514,0.466,11.53,30683.9,-42.0,2405.2,8.1,113.6,ok
mei-relatorio-avaliacao,2026-07-29T20:20:44+00:00,427,535295,1.822,11.099,0.765,14.45,48230.8,19.2,2382.4,8.1,126.9,ok
